Date Time,Intersection Street One,Intersection Street Two,Address Street Number,Address Street Name,Number of Motorists,Number of Cyclists,Number of Pedestrians,Number of Injured Individuals,Hospitalizations (estimated),Neighborhood (estimated)
02/16/2016 07:28:00 PM,,,266,RINDGE AV,2,0,0,0,0,North Cambridge
02/16/2016 07:49:00 PM,,,738,CAMBRIDGE STREET,1,0,0,0,0,Wellington-Harrington
02/16/2016 10:11:00 PM,,,364,RINDGE AVE,0,0,0,0,0,North Cambridge
02/17/2016 10:00:00 AM,,,30,CAMBRIDGE PARK DR,1,0,1,0,1,North Cambridge
02/17/2016 11:30:00 AM,,,1105,MASS AVE,1,1,0,0,1,Mid-Cambridge
02/17/2016 12:47:00 PM,,,9,OXFORD STREET,1,0,1,0,1,Agassiz
02/17/2016 02:41:00 PM,,,,MEMORIAL DRIVE,2,0,0,0,1,
02/18/2016 09:00:00 AM,MASS AVE,VASSAR ST,,,1,1,0,0,0,
02/18/2016 10:53:00 AM,SOMERVILLE AVENUE,WHITE STREET,,,1,0,1,0,1,
02/18/2016 04:05:00 PM,,,84,GARDEN STREET,2,0,0,0,0,Neighborhood Nine
02/18/2016 04:31:00 PM,THIRD STREET,BROADWAY,,,1,0,0,0,0,
02/18/2016 06:26:00 PM,CONCORD AVENUE,APPLETON STREET,,,2,0,0,0,0,
02/19/2016 02:30:00 AM,CAMBRIDGE STREET,FIFTHN STREET,,,2,0,0,0,0,
02/19/2016 06:17:00 AM,WEBSTER AVE,BRISTOL ST,,,0,0,0,0,0,
02/19/2016 08:35:00 AM,ABERDEEN ST,MT. AUBURN ST.,,,1,1,0,0,1,
02/19/2016 06:44:00 PM,,,,HUNTING ST,2,0,0,0,0,
02/19/2016 08:17:00 PM,,,1035,CAMBRIDGE STREET,0,0,0,0,0,Wellington-Harrington
02/19/2016 09:43:00 PM,,,,PURRINGTON ST,1,0,0,0,0,
02/20/2016 02:35:00 AM,PROSPECT,PROSPECT,,,2,0,0,0,0,
02/20/2016 04:30:00 AM,,,35,DUNSTER STREET,0,0,0,0,0,Riverside
02/20/2016 11:47:00 AM,,,19,BAY ST.,1,0,0,0,0,Riverside
02/21/2016 12:00:00 AM,ALLSTON ST,SIDNEY ST,59/57,ALLSTON ST,1,0,0,0,0,Cambridgeport
02/21/2016 03:00:00 PM,,,,ELIOT STREET,1,0,1,0,1,
02/21/2016 04:00:00 PM,,,,211 ALEWIFEBROOK PARKWAY,1,0,0,0,0,
02/21/2016 07:49:00 PM,BROADWAY,PORTLAND,,,0,1,0,0,1,
02/21/2016 07:49:00 PM,BROADWAY,PORTLAND,,,1,1,0,0,1,
02/22/2016 10:45:00 AM,ROGERS ST,THIRD ST,,,0,0,0,0,0,
02/22/2016 01:46:00 PM,,,73,WEBSTER AVE,0,0,0,0,0,Wellington-Harrington
02/22/2016 06:11:00 PM,,,79,JFK STREET,2,0,0,0,0,Riverside
02/23/2016 12:15:00 AM,HAMPSHIRE ST,COLUMBIA ST,,,1,0,1,0,0,
02/23/2016 02:15:00 PM,,,7,TEMPLE ST,1,0,0,0,0,Mid-Cambridge
02/23/2016 05:11:00 PM,,,,LINCOLN STREET,2,0,0,0,0,
02/23/2016 08:53:00 PM,,,15,UPTON STREET,1,0,0,0,0,Cambridgeport
02/24/2016 05:48:00 PM,,,372,RINDGE AVE,1,0,0,0,0,North Cambridge
02/24/2016 10:44:00 PM,MASSACHUSETTS AVE,LANDSDOWNE STREET,,,2,0,0,0,0,
02/25/2016 10:20:00 AM,,,362,RINDGE AVE,0,0,0,0,0,North Cambridge
02/25/2016 10:49:00 AM,BROADWAY,FELTON ST,,,1,1,0,0,1,
02/25/2016 11:20:00 AM,BROADWAY,FELTON ST,,,2,0,0,0,0,
02/25/2016 09:37:00 PM,,,,YORK STREET,1,0,0,0,0,
02/26/2016 11:30:00 AM,,,,MASS AVE,1,0,0,0,0,
02/26/2016 01:15:00 PM,,,,WEBSTER AVE,2,0,0,0,0,
02/26/2016 02:24:00 PM,,,47,ERIE STREET,2,0,0,0,1,Cambridgeport
02/26/2016 05:27:00 PM,,,,MASSACHUSETTS AVE,2,0,0,0,0,
02/27/2016 10:00:00 AM,170 GORE ST (LAMBERT ST SIDE),,,,0,0,0,0,0,
02/28/2016 04:40:00 AM,,,357,COLUMBIA ST,0,0,1,0,1,Wellington-Harrington
02/28/2016 11:47:00 AM,,,77,BISHOP ALLEN DRIVE,0,0,0,0,0,The Port
02/28/2016 12:33:00 PM,,,748,MEMORIAL DRIVE,0,0,0,0,0,Cambridgeport
02/28/2016 04:33:00 PM,CHURCH STREET,BRATTLE STREET,,,0,6,0,0,0,
02/28/2016 05:27:00 PM,,,,ELLIOT,2,0,0,0,0,
02/28/2016 05:51:00 PM,PROSPECT STREET,HARVARD STREET,,,1,1,0,0,0,
02/28/2016 08:13:00 PM,,,1716,CAMBRIDGE,1,0,0,0,0,Mid-Cambridge
02/29/2016 06:05:00 PM,,,,CEDAR ST,0,0,0,0,0,
02/29/2016 08:39:00 PM,,,,BRATTLE STREET,1,0,0,0,0,
02/29/2016 10:26:00 PM,,,180,ALBANY ST,1,1,0,0,0,Cambridgeport
03/01/2016 10:50:00 AM,,,,STATE ST,1,0,0,0,0,
03/01/2016 12:24:00 PM,,,,OTIS,1,0,0,0,0,
03/01/2016 02:22:00 PM,,,262,GREEN ST,0,0,0,0,0,Cambridgeport
03/01/2016 03:58:00 PM,DANA ST,CAMBRIDGE ST,,,2,0,0,0,0,
03/02/2016 08:10:00 AM,THIRD ST,ROGERS ST,,,2,0,0,0,0,
03/02/2016 02:56:00 PM,,,,CAMBRIDGE STREET,2,0,0,0,0,
03/02/2016 06:24:00 PM,,,,ELLERY STREET,0,0,0,0,0,
03/03/2016 09:30:00 AM,,,,VASSAR ST,2,0,0,0,0,
03/03/2016 11:40:00 AM,,,70,VASSAR ST,2,0,0,0,0,Area 2/MIT
